tri,compte,mesureNo1,mesureNo2,mesureNo3,mesureNo4,mesureNo5,mesureNo6,mesureNo7,mesureNo8,mesureNo9,mesureNo10,mesureNo11,mesureNo12,mesureNo13,mesureNo14,mesureNo15,mesureNo16,mesureNo17,mesureNo18,mesureNo19,mesureNo20,mesureNo21,mesureNo22,mesureNo23,mesureNo24,mesureNo25,mesureNo26,mesureNo27,mesureNo28,mesureNo29,mesureNo30,mesureNo31,mesureNo32,mesureNo33,mesureNo34,mesureNo35,mesureNo36,mesureNo37,mesureNo38,mesureNo39,mesureNo40,mesureNo41,mesureNo42,mesureNo43,mesureNo44,mesureNo45,mesureNo46,mesureNo47,mesureNo48,mesureNo49,mesureNo50
std_sort,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
std_sort,1000,18,17,17,16,17,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,15,14,14,14,14,14,14,14,14
std_sort,100000,8658,38341,6881,5571,5527,5579,5539,5530,5522,5530,5530,5561,5558,5528,5511,14805,5590,5535,5513,5516,5523,5521,5515,5516,5517,5516,5513,5573,5568,5519,5570,6350,10654,13034,15312,6355,5589,5551,5596,5550,5889,6142,8460,5586,5602,5507,5593,5549,5537,42633
std_sort,1000000,61956,62583,63355,64594,62953,63436,63597,62330,61647,62861,62265,61648,62038,62151,62935,62356,63071,61845,63219,61894,61570,61653,62264,61590,62546,63184,62921,62755,61473,61552,61659,61732,61385,61878,61809,61701,62330,62195,61607,62145,62457,63061,64903,61920,63322,63688,61450,63076,63323,64117
std_stable_sort,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
std_stable_sort,1000,234,239,236,239,238,235,232,231,235,232,232,231,232,232,235,231,232,233,231,231,233,239,232,231,231,244,244,227,232,232,233,239,232,233,233,229,231,237,231,232,232,231,232,235,230,231,231,225,232,231
std_stable_sort,100000,39998,40021,40595,40419,39782,38811,39514,39148,39555,39515,39787,39979,39521,39838,39619,39645,39126,39187,38929,39504,39226,39400,39570,40376,40037,39954,39991,40367,40393,40428,39847,40858,39140,39395,40796,40615,40708,40985,40484,40335,40539,40395,39867,38999,38944,39577,39121,39145,39151,39616
std_stable_sort,1000000,362960,363861,364928,372534,373181,368111,363617,363221,365871,366375,364077,362416,363733,363313,362905,362230,363216,367849,371868,367220,364033,363218,367716,365095,363570,362315,363354,363260,363207,361764,363149,363454,362448,362885,362919,363151,362825,364396,363581,364549,363988,363883,362430,364314,362824,362864,362356,363325,363782,362747
tri_rapide,10,36,37,37,37,37,37,36,37,36,36,37,37,37,37,38,36,36,36,36,36,37,37,36,36,36,36,36,37,36,38,37,41,37,37,37,36,36,37,36,37,36,36,36,36,36,36,37,36,36,36
tri_rapide,1000,3791,3799,3799,3803,3811,3783,3788,3799,3835,3782,3851,3788,3794,4055,3879,3801,3861,3842,3851,3859,3808,3805,3799,3806,3793,3811,3845,3785,3782,3811,3771,3784,3788,3781,3788,3793,3785,3852,3795,3785,3820,3832,3785,3786,3775,3810,3784,3799,3780,3787
